NTDID,AGENCY,CITY,STATE,UZA,MPO_AREA,MPO_FIPS,MPO_NAME,AGENCY_NAME
90061,Yuba-Sutter Transit Authority,MARYSVILLE,CA,"Yuba City, CA",Sacramento,SACOG,Sacramento Area Council of Governments,Sacramento Area Council of Governments
90078,Central Contra Costa Transit Authority,CONCORD,CA,"Concord, CA",Bay Area,MTC,Metropolitan Transportation Commission,Central Contra Costa Transit Authority
90079,SunLine Transit Agency,THOUSAND PALMS,CA,"Indio-Cathedral City, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90086,City of Riverside,RIVERSIDE,CA,"Riverside-San Bernardino, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90088,Napa Valley Transportation Authority,NAPA,CA,"Napa, CA",Bay Area,MTC,Metropolitan Transportation Commission,Napa Valley Transportation Authority
90089,County of Sonoma ,SANTA ROSA,CA,"Santa Rosa, CA",Bay Area,MTC,Metropolitan Transportation Commission,County of Sonoma 
90090,Yolo County Transportation District,WOODLAND,CA,"Sacramento, CA",Sacramento,SACOG,Sacramento Area Council of Governments,Sacramento Area Council of Governments
90092,"City of Fairfield, California",FAIRFIELD,CA,"Fairfield, CA",Bay Area,MTC,Metropolitan Transportation Commission,"City of Fairfield, California"
90094,Metropolitan Transportation Commission,SAN FRANCISCO,CA,"San Francisco-Oakland, CA",Bay Area,MTC,Metropolitan Transportation Commission,Metropolitan Transportation Commission
90095,San Diego Association of Governments,SAN DIEGO,CA,"San Diego, CA",San Diego,SANDAG,San Diego Association of Governments,San Diego Association of Governments
90119,City of Laguna Beach,Laguna Beach,CA,"Mission Viejo-Lake Forest-San Clemente, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90121,Antelope Valley Transit Authority,LANCASTER,CA,"Lancaster-Palmdale, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90129,City of Mesa,Mesa,AZ,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments,City of Mesa
90131,City of Scottsdale ,SCOTTSDALE,AZ,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments,City of Scottsdale 
90132,Maricopa County Special Transportation Services,Phoenix,AZ,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments,Maricopa County Special Transportation Services
90134,Peninsula Corridor Joint Powers Board,SAN CARLOS,CA,"San Francisco-Oakland, CA",Bay Area,MTC,Metropolitan Transportation Commission,Peninsula Corridor Joint Powers Board
90135,"Sun Cities Area Transit System, Inc.",Sun City,AZ,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments,"Sun Cities Area Transit System, Inc."
90136,Regional Public Transportation Authority,PHOENIX,AZ,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments,Regional Public Transportation Authority
90137,Surprise Dial-A-Ride Transit System,Surprise,AZ,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments,Surprise Dial-A-Ride Transit System
90140,City of Peoria ,PEORIA,AZ,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments,City of Peoria 
90142,"University of California, Davis",DAVIS,CA,"Davis, CA",Sacramento,SACOG,Sacramento Area Council of Governments,Sacramento Area Council of Governments
90144,Livermore / Amador Valley Transit Authority,LIVERMORE,CA,"Concord, CA",Bay Area,MTC,Metropolitan Transportation Commission,Livermore / Amador Valley Transit Authority
90146,Foothill Transit,WEST COVINA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90147,City of Los Angeles,LOS ANGELES,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90148,Victor Valley Transit Authority,HESPERIA,CA,"Victorville-Hesperia, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90150,City of Alameda Ferry Services,Alameda,CA,"San Francisco-Oakland, CA",Bay Area,MTC,Metropolitan Transportation Commission,City of Alameda Ferry Services
90151,Southern California Regional Rail Authority,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90154,Los Angeles County Metropolitan Transportation Authority ,LOS ANGELES,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90155,City of Vacaville,VACAVILLE,CA,"Vacaville, CA",Bay Area,MTC,Metropolitan Transportation Commission,City of Vacaville
90157,Access Services,EL MONTE,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90157,Access Services  ,EL MONTE,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90159,Western Contra Costa Transit Authority,Pinole,CA,"San Francisco-Oakland, CA",Bay Area,MTC,Metropolitan Transportation Commission,Western Contra Costa Transit Authority
90161,City of Union City,UNION CITY,CA,"San Francisco-Oakland, CA",Bay Area,MTC,Metropolitan Transportation Commission,City of Union City
90162,The Eastern Contra Costa Transit Authority,ANTIOCH,CA,"Antioch, CA",Bay Area,MTC,Metropolitan Transportation Commission,The Eastern Contra Costa Transit Authority
90164,Ventura County Transportation Commission,Camarillo,CA,"Oxnard, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90165,City of Thousand Oaks,THOUSAND OAKS,CA,"Thousand Oaks, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90166,LACMTA - Small Operators,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
